timestamp,message
1744508583312,"START RequestId: a2d4d812-4639-48ca-b6d4-ea5144253486 Version: $LATEST
"
1744508583313,"{""level"":""INFO"",""location"":""lambda_handler:261"",""message"":""Lambda handler invoked"",""timestamp"":""2025-04-13 01:43:03,313+0000"",""service"":""service_undefined"",""event"":{""name"":""TwelveLabs Audio Embeddings"",""description"":"""",""active"":true,""configuration"":{""nodes"":[{""id"":""dndnode_0"",""type"":""custom"",""position"":{""x"":""352"",""y"":""368""},""width"":""200"",""height"":""112"",""data"":{""id"":""map"",""type"":""FLOW"",""label"":""Map (map)"",""description"":""This step will iterate over an array of items and execute the same steps for each item"",""icon"":{""props"":{""size"":20}},""inputTypes"":[""any""],""outputTypes"":[{""name"":""Processor"",""description"":""json payload item processor""},{""name"":""Next"",""description"":""output to the next node""}],""configuration"":{""path"":"""",""operationId"":"""",""method"":""map"",""parameters"":{""0"":{""name"":""ItemsPath"",""schema"":{""type"":""string"",""description"":""JSONPath that identifies the array to iterate over""},""default"":""$.payload.externalTaskStatus"",""in"":""body"",""required"":true},""1"":{""name"":""ConcurrencyLimit"",""schema"":{""type"":""number"",""description"":""JSONPath that identifies the array to iterate over""},""default"":""0"",""label"":""Concurrency Limit"",""in"":""body"",""required"":false},""ConcurrencyLimit"":""1"",""ItemsPath"":""$.payload.externalTaskStatus""}}},""positionAbsolute"":{""x"":""352"",""y"":""368""}},{""id"":""dndnode_1"",""type"":""custom"",""position"":{""x"":""352"",""y"":""176""},""width"":""200"",""height"":""112"",""data"":{""id"":""trigger_audio_processing_completed"",""type"":""TRIGGER"",""label"":""Audio Processing Completed (trigger)"",""description"":""This step will trigger after audio processing is completed"",""icon"":{""props"":{""size"":20}},""inputTypes"":[""any""],""outputTypes"":[{""name"":""audio"",""description"":""Output type: audio""}],""configuration"":{""path"":"""",""operationId"":"""",""method"":""trigger"",""parameters"":{""Audio Type"":"""",""Prefix"":""""},""requestMapping"":null,""responseMapping"":null}},""positionAbsolute"":{""x"":""352"",""y"":""176""}},{""id"":""dndnode_2"",""type"":""custom"",""position"":{""x"":""528"",""y"":""560""},""width"":""200"",""height"":""112"",""data"":{""id"":""success"",""type"":""FLOW"",""label"":""Success"",""description"":""This step will end the execution with a success status"",""icon"":{""props"":{""size"":20}},""inputTypes"":[""any""],""outputTypes"":[],""configuration"":{""method"":""success"",""parameters"":{}}},""positionAbsolute"":{""x"":""528"",""y"":""560""}},{""id"":""dndnode_3"",""type"":""custom"",""position"":{""x"":""608"",""y"":""128""},""width"":""200"",""height"":""100"",""data"":{""id"":""pre_signed_url"",""type"":""UTILITY"",""label"":""Presigned URL Generator (generate)"",""description"":""Generate a pre-signed URL for S3 object access"",""icon"":{""props"":{""size"":20}},""inputTypes"":[""any""],""outputTypes"":[{""name"":""presigned_url"",""description"":""Output type: presigned_url""}],""configuration"":{""path"":"""",""operationId"":"""",""method"":""generate"",""parameters"":{""0"":{""name"":""URL Validity Duration"",""schema"":{""type"":""number""},""default"":""3600"",""in"":""body"",""required"":true},""URL Validity Duration"":""3600""}}},""positionAbsolute"":{""x"":""608"",""y"":""128""}},{""id"":""dndnode_4"",""type"":""custom"",""position"":{""x"":""880"",""y"":""112""},""width"":""200"",""height"":""112"",""data"":{""id"":""audio_splitter"",""type"":""UTILITY"",""label"":""Audio Splitter (split)"",""description"":""Splits audio files into MP3 chunks of configurable duration"",""icon"":{""props"":{""size"":20}},""inputTypes"":[""audio""],""outputTypes"":[{""name"":""audio"",""description"":""Output type: audio""}],""configuration"":{""path"":"""",""operationId"":"""",""method"":""split"",""parameters"":{""0"":{""name"":""Chunk Duration"",""schema"":{""type"":""number""},""default"":""10"",""in"":""body"",""required"":true},""Chunk Duration"":""10""}}},""positionAbsolute"":{""x"":""880"",""y"":""112""}},{""id"":""dndnode_5"",""type"":""custom"",""position"":{""x"":""640"",""y"":""368""},""width"":""200"",""height"":""100"",""data"":{""id"":""pre_signed_url"",""type"":""UTILITY"",""label"":""Presigned URL Generator (generate)"",""description"":""Generate a pre-signed URL for S3 object access"",""icon"":{""props"":{""size"":20}},""inputTypes"":[""any""],""outputTypes"":[{""name"":""presigned_url"",""description"":""Output type: presigned_url""}],""configuration"":{""path"":"""",""operationId"":"""",""method"":""generate"",""parameters"":{""0"":{""name"":""URL Validity Duration"",""schema"":{""type"":""number""},""default"":""3600"",""in"":""body"",""required"":true},""URL Validity Duration"":""3600""}}},""positionAbsolute"":{""x"":""640"",""y"":""368""}},{""id"":""dndnode_6"",""type"":""custom"",""position"":{""x"":""880"",""y"":""320""},""width"":""200"",""height"":""100"",""data"":{""id"":""twelve_labs"",""type"":""INTEGRATION"",""label"":""Twelve Labs (post)"",""description"":""Generate image or audio embeddings"",""icon"":{""props"":{""size"":20}},""inputTypes"":[],""outputTypes"":[],""configuration"":{""path"":""/embed"",""method"":""post"",""requestMapping"":""api_templates/twelvelabs/v1.3/embed/tasks"",""responseMapping"":""api_templates/twelvelabs/v1.3/embed/tasks"",""integrationId"":""1c56a940-21a4-4d8b-a1e0-18545f791c2e"",""operationId"":""generateImageOrAudioEmbeddings"",""parameters"":{""0"":{""name"":""nodeId"",""schema"":{""type"":""string""},""in"":""query"",""required"":true},""nodeId"":""""}}},""positionAbsolute"":{""x"":""880"",""y"":""320""}},{""id"":""dndnode_7"",""type"":""custom"",""position"":{""x"":""1056"",""y"":""480""},""width"":""200"",""height"":""112"",""data"":{""id"":""embedding_store"",""type"":""UTILITY"",""label"":""Embedding Store (store)"",""description"":""Store embeddings in OpenSearch for semantic search"",""icon"":{""props"":{""size"":20}},""inputTypes"":[""any""],""outputTypes"":[],""configuration"":{""path"":"""",""operationId"":"""",""method"":""store"",""parameters"":{""0"":{""name"":""Index Name"",""schema"":{""type"":""string""},""default"":""media"",""in"":""body"",""required"":false},""1"":{""name"":""Content Type"",""schema"":{""type"":""string"",""enum"":[""video"",""audio"",""image""]},""default"":""video"",""in"":""body"",""required"":false},""Index Name"":""media"",""Content Type"":""audio""}}},""positionAbsolute"":{""x"":""1056"",""y"":""480""}}],""edges"":[{""id"":""dndnode_1-dndnode_3"",""source"":""dndnode_1"",""target"":""dndnode_3"",""type"":""custom"",""data"":{""text"":""Connected""},""sourceHandle"":""audio"",""targetHandle"":""input-any""},{""id"":""dndnode_3-dndnode_4"",""source"":""dndnode_3"",""target"":""dndnode_4"",""type"":""custom"",""data"":{""text"":""Connected""},""sourceHandle"":""presigned_url"",""targetHandle"":""input-audio""},{""id"":""dndnode_4-dndnode_0"",""source"":""dndnode_4"",""target"":""dndnode_0"",""type"":""custom"",""data"":{""text"":""Connected""},""sourceHandle"":""audio"",""targetHandle"":""input-any""},{""id"":""dndnode_0-dndnode_5"",""source"":""dndnode_0"",""target"":""dndnode_5"",""type"":""custom"",""data"":{""text"":""Connected""},""sourceHandle"":""Processor"",""targetHandle"":""input-any""},{""id"":""dndnode_0-dndnode_2"",""source"":""dndnode_0"",""target"":""dndnode_2"",""type"":""custom"",""data"":{""text"":""Connected""},""sourceHandle"":""Next"",""targetHandle"":""input-any""},{""id"":""dndnode_5-dndnode_6"",""source"":""dndnode_5"",""target"":""dndnode_6"",""type"":""custom"",""data"":{""text"":""Connected""},""sourceHandle"":""presigned_url"",""targetHandle"":""input-default""},{""id"":""dndnode_6-dndnode_7"",""source"":""dndnode_6"",""target"":""dndnode_7"",""type"":""custom"",""data"":{""text"":""Connected""},""sourceHandle"":""default"",""targetHandle"":""input-any""}],""settings"":{""autoStart"":false,""retryAttempts"":3,""timeout"":3600}},""pipeline_id"":""66e9cf8e-d71a-44d8-a518-72ca0336b620""},""xray_trace_id"":""1-67fb16a2-448580692ad706844d763547""}
"
1744508583313,"{""level"":""INFO"",""location"":""create_pipeline:60"",""message"":""Received request to create/update a pipeline"",""timestamp"":""2025-04-13 01:43:03,313+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb16a2-448580692ad706844d763547""}
"
1744508583313,"{""level"":""INFO"",""location"":""parse_pipeline_definition:33"",""message"":""Parsing pipeline definition from event"",""timestamp"":""2025-04-13 01:43:03,313+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb16a2-448580692ad706844d763547""}
"
1744508583314,"{""level"":""INFO"",""location"":""parse_pipeline_definition:37"",""message"":""Pipeline definition found at top level of event"",""timestamp"":""2025-04-13 01:43:03,313+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb16a2-448580692ad706844d763547""}
"
1744508583316,"{""level"":""INFO"",""location"":""create_pipeline:66"",""message"":""Processing pipeline: TwelveLabs Audio Embeddings - "",""timestamp"":""2025-04-13 01:43:03,314+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb16a2-448580692ad706844d763547""}
"
1744508583316,"{""level"":""INFO"",""location"":""create_pipeline:99"",""message"":""Using provided pipeline_id: 66e9cf8e-d71a-44d8-a518-72ca0336b620, skipping name check"",""timestamp"":""2025-04-13 01:43:03,316+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb16a2-448580692ad706844d763547""}
"
1744508583316,"{""level"":""INFO"",""location"":""update_pipeline_status:380"",""message"":""Updating pipeline 66e9cf8e-d71a-44d8-a518-72ca0336b620 status to VALIDATING PIPELINE"",""timestamp"":""2025-04-13 01:43:03,316+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb16a2-448580692ad706844d763547""}
"
1744508583717,"{""level"":""INFO"",""location"":""update_pipeline_status:462"",""message"":""Successfully updated pipeline 66e9cf8e-d71a-44d8-a518-72ca0336b620 status to VALIDATING PIPELINE"",""timestamp"":""2025-04-13 01:43:03,717+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb16a2-448580692ad706844d763547""}
"
1744508583720,"{""level"":""INFO"",""location"":""create_pipeline:110"",""message"":""Validating pipeline configuration for TwelveLabs Audio Embeddings"",""timestamp"":""2025-04-13 01:43:03,719+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb16a2-448580692ad706844d763547""}
"
