timestamp,message
1744508927773,"START RequestId: 661bbde2-e0a8-41ed-a59b-3107f9e5faff Version: $LATEST
"
1744508927774,"{""level"":""INFO"",""location"":""lambda_handler:261"",""message"":""Lambda handler invoked"",""timestamp"":""2025-04-13 01:48:47,774+0000"",""service"":""service_undefined"",""event"":{""name"":""TwelveLabs Audio Embeddings"",""description"":"""",""configuration"":{""nodes"":[{""id"":""dndnode_0"",""type"":""custom"",""position"":{""x"":""352"",""y"":""368""},""width"":""180"",""height"":""40"",""data"":{""id"":""map"",""type"":""FLOW"",""label"":""Map (map)"",""description"":""This step will iterate over an array of items and execute the same steps for each item"",""icon"":{""props"":{""size"":20}},""inputTypes"":[""any""],""outputTypes"":[{""name"":""Processor"",""description"":""json payload item processor""},{""name"":""Next"",""description"":""output to the next node""}],""configuration"":{""method"":""map"",""parameters"":{""0"":{""name"":""ItemsPath"",""schema"":{""type"":""string"",""description"":""JSONPath that identifies the array to iterate over""},""default"":""$.payload.externalTaskStatus"",""in"":""body"",""required"":true},""1"":{""name"":""ConcurrencyLimit"",""schema"":{""type"":""number"",""description"":""JSONPath that identifies the array to iterate over""},""default"":0,""label"":""Concurrency Limit"",""in"":""body"",""required"":false},""ItemsPath"":""$.payload.externalTaskStatus"",""ConcurrencyLimit"":1},""path"":"""",""operationId"":""""}},""positionAbsolute"":{""x"":""352"",""y"":""368""}},{""id"":""dndnode_1"",""type"":""custom"",""position"":{""x"":""352"",""y"":""176""},""width"":""180"",""height"":""40"",""data"":{""id"":""trigger_audio_processing_completed"",""type"":""TRIGGER"",""label"":""Audio Processing Completed (trigger)"",""description"":""This step will trigger after audio processing is completed"",""icon"":{""props"":{""size"":20}},""inputTypes"":[""any""],""outputTypes"":[{""name"":""audio"",""description"":""Output type: audio""}],""configuration"":{""method"":""trigger"",""parameters"":{""Audio Type"":"""",""Prefix"":""""},""path"":"""",""operationId"":"""",""requestMapping"":null,""responseMapping"":null}},""positionAbsolute"":{""x"":""352"",""y"":""176""}},{""id"":""dndnode_2"",""type"":""custom"",""position"":{""x"":""528"",""y"":""560""},""width"":""180"",""height"":""40"",""data"":{""id"":""success"",""type"":""FLOW"",""label"":""Success"",""description"":""This step will end the execution with a success status"",""icon"":{""props"":{""size"":20}},""inputTypes"":[""any""],""outputTypes"":[],""configuration"":{""method"":""success"",""parameters"":{}}},""positionAbsolute"":{""x"":""528"",""y"":""560""}},{""id"":""dndnode_3"",""type"":""custom"",""position"":{""x"":""608"",""y"":""128""},""width"":""180"",""height"":""40"",""data"":{""id"":""pre_signed_url"",""type"":""UTILITY"",""label"":""Presigned URL Generator (generate)"",""description"":""Generate a pre-signed URL for S3 object access"",""icon"":{""props"":{""size"":20}},""inputTypes"":[""any""],""outputTypes"":[{""name"":""presigned_url"",""description"":""Output type: presigned_url""}],""configuration"":{""method"":""generate"",""parameters"":{""0"":{""name"":""URL Validity Duration"",""schema"":{""type"":""number""},""default"":3600,""in"":""body"",""required"":true},""URL Validity Duration"":""3600""},""path"":"""",""operationId"":""""}},""positionAbsolute"":{""x"":""608"",""y"":""128""}},{""id"":""dndnode_4"",""type"":""custom"",""position"":{""x"":""880"",""y"":""112""},""width"":""180"",""height"":""40"",""data"":{""id"":""audio_splitter"",""type"":""UTILITY"",""label"":""Audio Splitter (split)"",""description"":""Splits audio files into MP3 chunks of configurable duration"",""icon"":{""props"":{""size"":20}},""inputTypes"":[""audio""],""outputTypes"":[{""name"":""audio"",""description"":""Output type: audio""}],""configuration"":{""method"":""split"",""parameters"":{""0"":{""name"":""Chunk Duration"",""schema"":{""type"":""number""},""default"":10,""in"":""body"",""required"":true},""Chunk Duration"":""10""},""path"":"""",""operationId"":""""}},""positionAbsolute"":{""x"":""880"",""y"":""112""}},{""id"":""dndnode_5"",""type"":""custom"",""position"":{""x"":""640"",""y"":""368""},""width"":""180"",""height"":""40"",""data"":{""id"":""pre_signed_url"",""type"":""UTILITY"",""label"":""Presigned URL Generator (generate)"",""description"":""Generate a pre-signed URL for S3 object access"",""icon"":{""props"":{""size"":20}},""inputTypes"":[""any""],""outputTypes"":[{""name"":""presigned_url"",""description"":""Output type: presigned_url""}],""configuration"":{""method"":""generate"",""parameters"":{""0"":{""name"":""URL Validity Duration"",""schema"":{""type"":""number""},""default"":3600,""in"":""body"",""required"":true},""URL Validity Duration"":""3600""},""path"":"""",""operationId"":""""}},""positionAbsolute"":{""x"":""640"",""y"":""368""}},{""id"":""dndnode_6"",""type"":""custom"",""position"":{""x"":""880"",""y"":""320""},""width"":""180"",""height"":""40"",""data"":{""id"":""twelve_labs"",""type"":""INTEGRATION"",""label"":""Twelve Labs (post)"",""description"":""Generate image or audio embeddings"",""icon"":{""props"":{""size"":20}},""inputTypes"":[],""outputTypes"":[],""configuration"":{""method"":""post"",""parameters"":{""0"":{""name"":""nodeId"",""schema"":{""type"":""string""},""in"":""query"",""required"":true},""nodeId"":""""},""integrationId"":""1c56a940-21a4-4d8b-a1e0-18545f791c2e"",""path"":""/embed"",""operationId"":""generateImageOrAudioEmbeddings"",""requestMapping"":""api_templates/twelvelabs/v1.3/embed/tasks"",""responseMapping"":""api_templates/twelvelabs/v1.3/embed/tasks""}},""positionAbsolute"":{""x"":""880"",""y"":""320""}},{""id"":""dndnode_7"",""type"":""custom"",""position"":{""x"":""1056"",""y"":""480""},""width"":""180"",""height"":""40"",""data"":{""id"":""embedding_store"",""type"":""UTILITY"",""label"":""Embedding Store (store)"",""description"":""Store embeddings in OpenSearch for semantic search"",""icon"":{""props"":{""size"":20}},""inputTypes"":[""any""],""outputTypes"":[],""configuration"":{""method"":""store"",""parameters"":{""0"":{""name"":""Index Name"",""schema"":{""type"":""string""},""default"":""media"",""in"":""body"",""required"":false},""1"":{""name"":""Content Type"",""schema"":{""type"":""string"",""enum"":[""video"",""audio"",""image""]},""default"":""video"",""in"":""body"",""required"":false},""Index Name"":""media"",""Content Type"":""audio""},""path"":"""",""operationId"":""""}},""positionAbsolute"":{""x"":""1056"",""y"":""480""}}],""edges"":[{""source"":""dndnode_1"",""sourceHandle"":""audio"",""target"":""dndnode_3"",""targetHandle"":""input-any"",""id"":""dndnode_1-dndnode_3"",""type"":""custom"",""data"":{""text"":""Connected""}},{""source"":""dndnode_3"",""sourceHandle"":""presigned_url"",""target"":""dndnode_4"",""targetHandle"":""input-audio"",""id"":""dndnode_3-dndnode_4"",""type"":""custom"",""data"":{""text"":""Connected""}},{""source"":""dndnode_4"",""sourceHandle"":""audio"",""target"":""dndnode_0"",""targetHandle"":""input-any"",""id"":""dndnode_4-dndnode_0"",""type"":""custom"",""data"":{""text"":""Connected""}},{""source"":""dndnode_0"",""sourceHandle"":""Processor"",""target"":""dndnode_5"",""targetHandle"":""input-any"",""id"":""dndnode_0-dndnode_5"",""type"":""custom"",""data"":{""text"":""Connected""}},{""source"":""dndnode_0"",""sourceHandle"":""Next"",""target"":""dndnode_2"",""targetHandle"":""input-any"",""id"":""dndnode_0-dndnode_2"",""type"":""custom"",""data"":{""text"":""Connected""}},{""source"":""dndnode_5"",""sourceHandle"":""presigned_url"",""target"":""dndnode_6"",""targetHandle"":""input-default"",""id"":""dndnode_5-dndnode_6"",""type"":""custom"",""data"":{""text"":""Connected""}},{""source"":""dndnode_6"",""sourceHandle"":""default"",""target"":""dndnode_7"",""targetHandle"":""input-any"",""id"":""dndnode_6-dndnode_7"",""type"":""custom"",""data"":{""text"":""Connected""}}],""settings"":{""autoStart"":false,""retryAttempts"":3,""timeout"":3600}},""pipeline_id"":""3dd9b763-e9ec-4775-a9b9-afd96e610fba""},""xray_trace_id"":""1-67fb17fa-47ae93971b46b8a701b353b4""}
"
1744508927774,"{""level"":""INFO"",""location"":""create_pipeline:60"",""message"":""Received request to create/update a pipeline"",""timestamp"":""2025-04-13 01:48:47,774+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb17fa-47ae93971b46b8a701b353b4""}
"
1744508927774,"{""level"":""INFO"",""location"":""parse_pipeline_definition:33"",""message"":""Parsing pipeline definition from event"",""timestamp"":""2025-04-13 01:48:47,774+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb17fa-47ae93971b46b8a701b353b4""}
"
1744508927775,"{""level"":""INFO"",""location"":""parse_pipeline_definition:37"",""message"":""Pipeline definition found at top level of event"",""timestamp"":""2025-04-13 01:48:47,774+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb17fa-47ae93971b46b8a701b353b4""}
"
1744508927775,"{""level"":""INFO"",""location"":""create_pipeline:66"",""message"":""Processing pipeline: TwelveLabs Audio Embeddings - "",""timestamp"":""2025-04-13 01:48:47,775+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb17fa-47ae93971b46b8a701b353b4""}
"
1744508927775,"{""level"":""INFO"",""location"":""create_pipeline:99"",""message"":""Using provided pipeline_id: 3dd9b763-e9ec-4775-a9b9-afd96e610fba, skipping name check"",""timestamp"":""2025-04-13 01:48:47,775+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb17fa-47ae93971b46b8a701b353b4""}
"
1744508927776,"{""level"":""INFO"",""location"":""update_pipeline_status:380"",""message"":""Updating pipeline 3dd9b763-e9ec-4775-a9b9-afd96e610fba status to VALIDATING PIPELINE"",""timestamp"":""2025-04-13 01:48:47,775+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb17fa-47ae93971b46b8a701b353b4""}
"
1744508928179,"{""level"":""INFO"",""location"":""update_pipeline_status:462"",""message"":""Successfully updated pipeline 3dd9b763-e9ec-4775-a9b9-afd96e610fba status to VALIDATING PIPELINE"",""timestamp"":""2025-04-13 01:48:48,179+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb17fa-47ae93971b46b8a701b353b4""}
"
1744508928181,"{""level"":""INFO"",""location"":""create_pipeline:110"",""message"":""Validating pipeline configuration for TwelveLabs Audio Embeddings"",""timestamp"":""2025-04-13 01:48:48,181+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb17fa-47ae93971b46b8a701b353b4""}
"
